relation_id,source_person_id,target_person_id,standard_relation_type,relation_risk_level,confidence,context,human_verdict,human_note
REL-01005,ZLH-011,ZLH-069,签名联署,low,medium,"、回到人民立场,与尤元、尘无、阿英、于雯(欧阳山)等位左翼电影界人士联名发表公开信(向艺华公司当局进一言》(载同年月日上海《民报》副刊《影谭早。同年",,
REL-01007,ZLH-011,ZLH-073,同属组织,critical,low,"翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉等都是它的组织者“和积极筹备者,瞿秋日、茅盾、丁玲、周扬等都曾是宁的重要领导人,郭沫若则是东享左联的实际核心。左联是国; 、雷石榆、魏晋等东京左联盟员,王余杞、许幸之、王任叔、郑伯奇、庄启东、方之中、张天翼、周而复、任钧、洪道、穆木天、关露、安娥、杨骚、舒群、罗烽、张若羟(阿英)等",,
REL-01008,ZLH-011,ZLH-074,纪念/悼念,critical,medium,"蟹峙、贺敬之、杨秀峰、陈翰伯、严文井、韦君宜及全国文艺界知名人士和冯雪峰同志生前友好等共一千余人参加追悼会。追悼会由全国政协副主席、人大常委会委员胡愈之主持,中",,
REL-01011,ZLH-011,ZLH-081,签名联署,low,medium,上签名的有左联成员田汉、洪深、阿英、阳翰笙、尤党、司徒慧敏、沈西苓、林娜、周钢鸣、林淡秋、洪道、徐懋庸、唐瑜、徐步、荒煤、许标之、舒群、罗烽、欧阳凡海、鲁思、戴; 们是:尤兢、司徒慧敏、沈西苓、阿英、唐瑜、凌鹤、夏衍、许幸之、尘无、郑君平、鲁恺;在抗议宣言上签名的其他左联作家、诗人、翻译家还有白蒲、艾芜、立波、任白戈、任钧; 、张天翼、茅眉、尤兔(于伶)、阿英、钱亦石、关霁以及谢六逸、胡子婴、黎烈,,
REL-01017,ZLH-011,ZLH-093,合作,critical,medium,"娥、杨骚、舒群、罗烽、张若羟(阿英)等各地左联盟员书在这里发表详著。刊物发表的小说《阴沉的天》(王任叔),散文《清明时节》(方之中),诗歌《天桥的风暴》(王亚平",,
REL-01025,ZLH-011,ZLH-106,签名联署,low,medium,们是:尤兢、司徒慧敏、沈西苓、阿英、唐瑜、凌鹤、夏衍、许幸之、尘无、郑君平、鲁恺;在抗议宣言上签名的其他左联作家、诗人、翻译家还有白蒲、艾芜、立波、任白戈、任钧,,
REL-01041,ZLH-011,ZLH-130,交游,low,medium,"适夷、沈起予、郑伯奇、冯雪峰、钱杏郭、田汉、洪深、彭康、朱镜我、丁九(应修人)、丁玲、潘汉年、郝达夫、戴平万等,还有许多进步作家如胡愈之、邹韬奋、杜重运、王统照; 产党。这年秋,丁玲接替钱杏邺(阿英)担任左联党团书记。年月是苏联作家高尔基文学创作周年纪念,左联发表贺词《高尔基的四十年创作生活一一我们的庆祝》; 初加人“太阳社“,配合蒋光慈、钱杏部等创办春野书店,出版普罗文学作品。他",,
REL-01049,ZLH-011,ZLH-141,交游,low,medium,"小说学者的鲁迅》沉痛哀悼鲁迅。阿英是左联时期的重要作家命评论家。至年写作和出版了短篇小说集(革命的故事》(1928年月春野书店)、《玖露莎》(; 二八事变后,奉党之命,和钱杏邮、郑伯奇等人共同组成党的电影小组,领导开展左翼电影运动。同年月日《北斗》2卷3、4期合刊发表他的《创作月评》,首先对姚; 娥、杨骚、舒群、罗烽、张若羟(阿英)等各地左联盟员书在这里发表详著。刊物",,
REL-01101,ZLH-012,ZLH-093,合作,critical,medium,"也是同年,北平、天津的青年诙人王亚平、袁勃、曼普等共同在北平建立中国诗歌会河北分会,他们是在上海加人中国诗歌会后才去筹备分会的。分会完全执行上海总会的方针、任务",,
REL-01133,ZLH-013,ZLH-014,同属组织,critical,low,"汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉; 任过左联党团书记的有下列人员;冯乃超年月一-1931年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰; 汉年、冯雪峰、郑住奇、蒋光慈、冯乃超、钱松邮、标石、洪灵菲、华汉等,中心议题是“清算过去“和“",,
REL-01161,ZLH-013,ZLH-047,同属组织,critical,low,"柏山、徐懋庸、何家槐、王淑明、林淡秋等。左联为加强日常工作的领导,还设有行政书记(也叫执行书记或常务书记),担任过这一职务的有鲁迅、茅盾、况雪峰、冯乃超、华汉(; 的有左联成员田汉、洪深、阿英、阳翰笙、尤党、司徒慧敏、沈西苓、林娜、周钢鸣、林淡秋、洪道、徐懋庸、唐瑜、徐步、荒; 联“成立前后》、《左联杂忆》,阳翰笙《中国左翼作家联盟成立的经过》、《左翼文化阵营反对国民党反动派文化“围剿“的斗争》,",,
REL-01163,ZLH-013,ZLH-050,待核验,critical,low,"汉年、冯雪峰、沈端先(夏衍)、阳翰笙、冯乃超、郑伯奇、钱杏邨(阿英)、田汉等都是它的组织者“和积极筹备者,瞿秋日、茅盾、丁玲、周扬等都曾是宁的重要领导人,郭沫若",,
REL-01185,ZLH-013,ZLH-091,合作,critical,medium,"林年(起讫时间不峦)。阳翰笙年一年上半年。周_扬年下半年一年左联执行委员会左联的领导机构之一,左联成立后即存在并开始履行; )等详、小说和论文,还与华蒂(叶以群)合译高尔基中篇小说《隐秘的爱》(潼风书局),是左联时期颇有成就的翻译家。阳韬笙(1902一1993)左翼作家。原名欧阳本仪; 左翼作家联盟机关刊。鲁迅主编,叶以群等参加编辑。小报型文艺期刊,1931",,
REL-01190,ZLH-013,ZLH-104,待核验,critical,low,"冯雪峰、田汉、钱杏郫、郑伯奇、阳翰笙、彭康、周全平、柔石、李伟森、徐殷夫、冯铿、朱镜我、林伯修、王一榴、王任叔、许幸之、陶晶孙、邱韵铎、沈叶沉、冯宪章、孟超、黄; 秦、歪超、柔石、唐瑜、王淑明、阳翰笙、周全平、戴平万、冯雪峰、胡也频、李伟森、螂绀弩、沈起予、艾芜、丁玲、杜君慧、侯枫、刘锡五、沙汀、夏征农、许幸之、叶沉、安娥; 演程步高,还有姚苏凤、沈西苓、阳翰笙、叶灵凤、赵铭彝、席耐芳(郑伯奇)、",,
