relation_id,source_person_id,target_person_id,standard_relation_type,relation_risk_level,confidence,context,human_verdict,human_note
REL-01461,ZLH-017,ZLH-022,同属组织,critical,low,"谷牧、张寮晖、张秀岩.张秀中、张天翼、张璋、张露薇、张天虚、张文松、张树森、张香山、陆万美、陈璧如、陈八昌、陈正途、陈北鸥、陈大戈、陈落、陈荒燥、陈企霞、陈君冶; 、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山; 编《现代创作仰刊》,收左联作家张天翼、丁玲、魏金枝、何家槐、穆木天等的作",,
REL-01470,ZLH-017,ZLH-031,合作,critical,medium,"周文、柏山、东平、征农、荒煤、葛琴、徐盈、叶紫、罗烽、舒群、端木蕻良、王西彦、王尘无、蒲风、田间、于伶、凌鹤、徐懋庸、聂绀弩、廖沫沙等,他们都为左翼文学奉献了自; 。年居北京时,结识诗人胡也频,东年月《小说月报》19卷号发表小说《莎菲女士的日记》震动文坛,问年夏,和胡也频、沈从文名米上海,办红黑出版社,; ),茅眉、于伶(以上孔海珠),胡也频、草明(以上余仁凯),穆木天、葛琴(",,
REL-01478,ZLH-017,ZLH-042,论战,critical,medium,"丙心、穆木天、戴平万、戴望舒、魏金枝、魏猛克等。左联高举反对帝国主义、反对国民克反动派和拥护苏维埃革命的战斗旗帜,努力传播马克思主义文艺理论,介绍苏联及世界各国; 柔石《二月》和《旧时代之死》、魏金枝《七封书信的自传》都称为“优秀之作“(鲁迅《我们要批评家》)。同年月中旬,因叛徒出卖被捕,在狱中立场坚定,大义濑然,断然拒; 刊》,收左联作家张天翼、丁玲、魏金枝、何家槐、穆木天等的作品种。193",,
REL-01493,ZLH-017,ZLH-077,合作,critical,medium,"、钟望阳、郝冠英、草明、胡风、胡也频、柏山、柳风、柳倩、段雪笙、段英、俞人舟、洪深、; 。同年,为纪念左翼作家李伟森、胡也频、柔石、殷夫、冯铿牺牲一周年,以“普罗诚社“之名编辑出版了张秀中、窦隐夫等的诗合集《血在沸》和张秀中的诚集《擎旗手》。名年五",,
REL-01495,ZLH-017,ZLH-081,交游,low,medium,"家、音乐家则有徐梵澄、蒋牧良、陈白尘、芦棚、萧红、萧军、艾青、臧克家、张庚、盲驯、姚克、旅冈、李兰等;大力声援受压迫的中国左翼作家联盟和中国左翼文学运动的外国友; 周而复、东平以及萧军、蒋牧良、陈白尘、凡容等出席第次小说家座谈会,学习鲁迅,研究讨论鲁迅小说《祝福》和《在酒楼上》。荒煤在左联时期主要从事小说创作。作品有《宅",,
REL-01521,ZLH-017,ZLH-131,交游,low,medium,"反动派逸捕杀害李伟“森、柔石、胡也频、冯铿、殴夫等位左联作家,号召人民起来反对敌人的白色恐怖。为国民党屠杀同志致各国革命文学和文化团体及一切为人类进步而工作的; 丫抗议国民党残杀李伟森、柔石、胡也频、殷夫、冯锏等左翼作家而发出的第三个文件,系由中文《为国民党屠杀同志致各国革命文学和文化团体及一切为人类进步而工作的著作家思; 前哨》不人,传来李伟森、柔石、胡也频、冯铿,殷夫五位左翼作家被敌人杀害的",,
REL-01547,ZLH-018,ZLH-035,待核验,critical,low,"军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边隆基、司徒懋数、讥马文森、台静农、师田手、朱镜我、朱正明、乔天华、伍石夫、任白戈、任钧、向思赓、庄启; 思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、李辉英、周文、柏山、东平、征农、荒煤; ,胡也频和李伟森、柔石、殷夫、冯铿等先后被捕,名年月?日,被国民克反动派杀害于上海龙华淞沪警备司令部,她化悲痛为力量,欧心到江西苏区",,
REL-01550,ZLH-018,ZLH-039,待核验,critical,low,"军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边隆基、司徒懋数、讥马文森、台静农、师田手、朱镜我、朱正明、乔天华、伍石夫、任白戈、任钧、向思赓、庄启; 思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、李辉英、周文、柏山、东; ────────────400冯铿、胡也频的遗作。刊物的出版发行极端困难,冯雪峰、楼适夷、周熙(江丰)、应修人、曾贬、孤通如等参加了它的出版发行工作",,
REL-01553,ZLH-018,ZLH-045,待核验,critical,low,"军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边隆基、司徒懋数、讥马文森、台静农、师田手、朱镜我、朱正明、乔天华、伍石夫、任白戈、任钧、向思赓、庄启; 翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、李; 、蒋光慈、柔石、李伟椒、殴夫、冯铿、冯宪章、刘一梦、彭家煌、天虑、名紫、东平(以上胡从经)、冯雪",,
REL-01558,ZLH-018,ZLH-058,交游,low,medium,"露李伟森、胡也频、柔石、殷夫、冯铿位左联盟员作完被害的消息,刊出了烈士遗像。此后又陆续报导了蒋光慈、李尚贤、冯完章等左翼作家和左翼文一工作者逝世的消息。该刊; 991年期。论述丁玲、白薇、冯铿以及萧红、罗淑等女无联研究资料简介作家在创作题材方面的新开拓、新变化,认为三十年代的左翼女性义学具有女性意识的“无性化“、同中",,
REL-01572,ZLH-018,ZLH-099,待核验,high,low,",介绍柔石《一个伟大的印象》、冯铿《红的日记》和《小阿强》、胡也频《同命》等篇报告文学和小说,认为是中国革命文学史上值得重视的作品“,因为它们反映了中国人民的",,
REL-01583,ZLH-018,ZLH-130,创作合作,low,medium,",李伟森、柔石、朐也频、殷夫、冯铿等位左联作家在龙华被难,不久传闻戴平万也已牺牲,左联领导和日本朋友山上正义、尾崎秀实等共同编辑日文《支那小说集〈阿正传》,",,
REL-01594,ZLH-018,ZLH-150,待核验,critical,low,"来的我国第一代新兴木刻艺术家。萧三(1896一1983).左翼诗人。原名子暮,笔名萧爱梅,S三、E*S、萧参等,俄文名埃弥*萧,湖南湘乡县人。年去苏联养",,
REL-01596,ZLH-019,ZLH-021,地下通讯,low,medium,"-1986)左翼作家。女,原名蒋冰之,笔名丁玲、形芷、丛喧等,湖南临澧县人。早年受五四运动的影响,1922年入中国共产兑在上海创办的平民女子学校求学,先后结识下; 1年春,李伟森、柔石、胡也频、殷夫、冯锏位左翼青年作家被害,参与宣传、组织有上十同学参加的大会,请丁玲作报告,轿动全校,是对国民党反; 。“同年月日,左翼女作家丁玲和潘梓年被国民党特务秘密幽架,蔡元培、杨铨等位文化界人士联名",,
REL-01600,ZLH-019,ZLH-025,待核验,critical,low,"、邹恩淘、应修人、辛劳、汪宪、沙汀、沈起孙、谷万川、谷景生、谷牧、张寮晖、张秀岩.张秀中、张天翼、张璋、张露薇、张天虚、张文松、张树森、张香山、陆万美、陈璧如、; 17日,胡也频和李伟森、柔石、殷夫、冯铿等先后被捕,名年月?日,被国民克反动派杀害于上海龙华淞沪警备司令部,她化悲痛为力量,欧心到江西苏区去参加红军,但当组织; 》《红旗日报》材料;(五)关于殷夫被捕时所任职务(团中央宣传部干事)的材",,
REL-01608,ZLH-019,ZLH-035,同属组织,critical,low,"长路.李俊民、李绍庚、李正文、李辉英、李岫石、李之琏、丽尼、吴奚如、吴强、吴振刚,余修、邱韵铎、何非、何家槐、邹恩淘、应修人、辛劳、汪宪、沙汀、沈起孙、谷万川、; 17日,胡也频和李伟森、柔石、殷夫、冯铿等先后被捕,名年月?日,被国民克反动派杀害于上海龙华淞沪警备司令部,她化悲痛为力量,欧心到江西苏区去参加红军,但当组织; 日报》回忆左联成二后,同日葳(殷夫)的儿次交往,白葳鼓励杨纤如“把文艺与",,
REL-01610,ZLH-019,ZLH-037,交游,low,medium,"来李伟森、柔石、胡也频、冯铿,殷夫五位左翼作家被敌人杀害的消息,为了揭露反动派的血腥罪行,《前哨》决定出版“纪念战死者专号“,发表了左联的两个重要文献:,《中国; 左联时期诗歌美学的重要遗产。楼适夷(1905一)左翼作家.原名锡椿,自字建南,浙江余姚县人.二十年代初期在上海报刊发表习作,、1923年起在创造社刊物《创造日》; 介文艺新闻“文艺周刊。袁殊、楼适夷占编,1931年月日在上海创刊.",,
REL-01612,ZLH-019,ZLH-039,待核验,critical,low,林焕平、林蓉、林基路、郁达夫、欧阳山、欧阳凡海、欧查、罗烽、罗竹风、金奎光、金丁、金肇野、周缘英、周全平、周永言、周文、周立波、周钥鸣、周伯勋、周而复、郑伯奇、,,
REL-01623,ZLH-019,ZLH-063,待核验,critical,low,"镜我、朱正明、乔天华、伍石夫、任白戈、任钧、向思赓、庄启东、齐同、齐途、刘锡五、刘一梦、刘景明、刺光宗、刘芳松、刘明、刘尊棋、刘雪苇、刘御、刘春、刘宗璜、关露、; 1年春,李伟森、柔石、胡也频、殷夫、冯锏位左翼青年作家被害,参与宣传、组织有上十同学参加的大会,请丁玲作报告,轿动全校,是对国民党反动派的一次有力的控诉.九一",,
REL-01638,ZLH-019,ZLH-104,待核验,critical,low,"迈、艾芜、石喝冲、石灵、东平、叶灵凤、叶沉、叶以群、叶紫、田间、田牛、史征军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边隆基、司徒懋数、讥马文森、; 民党残杀李伟森、柔石、胡也频、殷夫、冯锏等左翼作家而发出的第三个文件,系由中文《为国民党屠杀同志致各国革命文学和文化团体及一切为人类进步而工作的著作家思想家书)",,
REL-01640,ZLH-019,ZLH-112,创作合作,low,medium,"欢迎巴比塞代表团来华。同年,与戴望舒合编《现代创作仰刊》,收左联作家张天翼、丁玲、魏金枝、何家槐、穆木天等的作品种。年月,为《春光)杂志特约撰稿人。; 2期。介绍殴夫、藜风、臧克家、戴望舒等的诗歌,左联时期杂文\报告文学和各体散文的代表作家、作品,分析它们的得失。认为“无产阶级诗歌创作取得较高成就的,是左联烈士",,
REL-01648,ZLH-019,ZLH-128,交游,low,medium,了用笔战斗和为同胞服务的岗位。殷夫和徐懋庸也到上海来了。他们分别考进同济大学附属德文补习科一年级和劳动大学中学部读书。第一节“鲁迅周围的人们鲁迅跟广州新军阀的啾,,
REL-01653,ZLH-019,ZLH-133,交游,low,medium,联盟纪念李伟森、胡也频、柔石、殷夫、冯锐和宗晖的纪念文集。日本东京四六书院年月出版。卷首有李伟森、宗眺、冯锂、殷夫的照片、“谨呈李、徐、冯、胡、谢等,,
REL-01662,ZLH-019,ZLH-150,待核验,critical,low,"来的我国第一代新兴木刻艺术家。萧三(1896一1983).左翼诗人。原名子暮,笔名萧爱梅,S三、E*S、萧参等,俄文名埃弥*萧,湖南湘乡县人。年去苏联养",,
REL-01669,ZLH-020,ZLH-027,地下通讯,low,medium,"春,加入青品巫联小组。与舒群、萧军、萧红等交往,并与茅盾通信,还收到他寄赠的新作《子夜》,1934年月中共青岛地下党组织遭到破坏,他离青峦去北京。年",,
REL-01670,ZLH-020,ZLH-028,地下通讯,low,medium,"入青品巫联小组。与舒群、萧军、萧红等交往,并与茅盾通信,还收到他寄赠的新作《子夜》,1934年月中共青岛地下党组织遭到破坏,他离青峦去北京。年秋去上",,
REL-01671,ZLH-020,ZLH-029,交游,low,medium,"全平、戴平万、冯雪峰、胡也频、李伟森、螂绀弩、沈起予、艾芜、丁玲、杜君慧、; 部,任出版委员。为纪念左联作家李伟森、柔石、胡也频、殷夫、冯健殉难周年,以“普罗诗社“名义编辑出版诗集《血在沸》(张秀中、窦隐夫著)和《擎旗手》(张秀中著)。5; 上黑名单。年月日,李伟森、柔石、胡也频、殷夫、冯铿等位盟员作家又被杀害,在这极为严重的白色恐怖中,叶以群却渴望找到左联组织。这年春,他从东京回到",,
REL-01678,ZLH-020,ZLH-037,交游,low,medium,"辑左联机关刊(前哨》不人,传来李伟森、柔石、胡也频、冯铿,殷夫五位左翼作家被敌人杀害的消息,为了揭露反动派的血腥罪行,《前哨》决定出版“纪念战死者专号“,发表了; 典年月日,左联盟员李伟森、胡也频、柔石、殴夫,冯锏被国民党反动派杀害,为抗议敌人的暴行,争取世界与论的声捷,左联委派他和史沫特莱、尾崎秀实等国际友人; 左联时期诗歌美学的重要遗产。楼适夷(1905一)左翼作家.原名锡椿,自字",,
REL-01680,ZLH-020,ZLH-039,待核验,critical,low,"杨刚、杨鹤声、杨纤如、杨秀恩、李伟森、李长路.李俊民、李绍庚、李正文、李辉英、李岫石、李之琏、丽尼、吴奚如、吴强、吴振刚,余修、邱韵铎、何非、何家槐、邹恩淘、应",,
REL-01684,ZLH-020,ZLH-047,待核验,critical,low,"杨刚、杨鹤声、杨纤如、杨秀恩、李伟森、李长路.李俊民、李绍庚、李正文、李辉英、李岫石、李之琏、丽尼、吴奚如、吴强、吴振刚,余修、邱韵铎、何非、何家槐、邹恩淘、应",,
REL-01688,ZLH-020,ZLH-059,待核验,critical,low,"群、叶紫、田间、田牛、史征军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边隆基、司徒懋数、讥马文森、台静农、师田手、朱镜我、朱正明、乔天华、伍石夫、",,
REL-01690,ZLH-020,ZLH-063,待核验,critical,low,"镜我、朱正明、乔天华、伍石夫、任白戈、任钧、向思赓、庄启东、齐同、齐途、刘锡五、刘一梦、刘景明、刺光宗、刘芳松、刘明、刘尊棋、刘雪苇、刘御、刘春、刘宗璜、关露、; 及进步文学作品。年春,李伟森、柔石、胡也频、殷夫、冯锏位左翼青年作家被害,参与宣传、组织有上十同学参加的大会,请丁玲作报告,轿动全校,是对国民党反动派; ..》,痛斥国民党反动派继属杀李伟森、柔石、胡也频、服夫、冯锋等左翼作家",,
REL-01698,ZLH-020,ZLH-082,交游,low,medium,"部,任出版委员。为纪念左联作家李伟森、柔石、胡也频、殷夫、冯健殉难周年,以“普罗诗社“名义编辑出版诗集《血在沸》(张秀中、窦隐夫著)和《擎旗手》(张秀中著)。5",,
REL-01709,ZLH-020,ZLH-113,交游,low,medium,"联“》,杨迎平《左翼文学运动与施蛰存》(均载《纪念中国左翼作家联盟成立周年文集》,上海文艺出版社年月)。多年来,学术界对“左联五烈士“的学习研究",,
REL-01724,ZLH-020,ZLH-139,合作,high,medium,半_年。不久中国左翼作家联盟为李伟森、朐也频、柔石、殷夫、冯筹被害和王任叔的被捕发表《中国左翼作家联盟为国民党屠杀大批革命作完致各国革命文学和文化团体及一切为人,,
REL-01733,ZLH-021,ZLH-025,纪念/悼念,high,medium,”的斗争（阳翰笙） 关于左联的片断回忆（丁玲） 记“左联”的两个刊物（楼适夷） 我为“左联”在国外作了些什么？（萧三） 有关左联的一些回忆（金丁） 纪念“左联”，缅怀战友（季楚书） 一个左联盟员的回忆,,
REL-01734,ZLH-021,ZLH-026,交游,low,medium,"郑伯奇、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等; 的还有茅盾、周扬、彭慧、沙汀、胡风、周文、任白戈、徐懋庸、何家槐、林淡秋等人。有的回忆录提供,杨潮,彭柏山、彭慧、周立波、梅益等也担任过左联常委。左联秘书处左联; 阳山、雪书、任钧、东平、立波、胡风的笔读《对于文艺界统一运动的我见》,挡出,“若是把文艺作品单纯地作为达到某种政治理想的工具来看.那是",,
REL-01739,ZLH-021,ZLH-031,交游,low,medium,"郑伯奇、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、; -1986)左翼作家。女,原名蒋冰之,笔名丁玲、形芷、丛喧等,湖南临澧县人。早年受五四运动的影响,1922年入中国共产兑在上海创办的平民女子学校求学,先后结识下; 有宋阳(瞿秋白)、鲁迅、茅盾、丁玲、蓬子、金丁、冰莹、周起应(周扬)、白",,
REL-01757,ZLH-021,ZLH-059,待核验,critical,low,"郑伯奇、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具; 有宋阳(瞿秋白)、鲁迅、茅盾、丁玲、蓬子、金丁、冰莹、周起应(周扬)、白薇、洪深、张天鬟.许幸之、田汉、; 大学学报》1991年期。论述丁玲、白薇、冯铿以及萧红、罗淑等女无联研",,
REL-01760,ZLH-021,ZLH-063,地下通讯,low,medium,"常委周全平、蒋光慈。根据沙汀、任白戈、林淡秋、徐懋庸等的回忆,担任过左联常委的还有茅盾、周扬、彭慧、沙汀、胡风、周文、任白戈、徐懋庸、何家槐、林淡秋等人。有的回; 、组织有上十同学参加的大会,请丁玲作报告,轿动全校,是对国民党反动派的一次有力的控诉.九一八事变后,因参加去南京请愿,被速返原籍河南开封。年月和潘丙心; 成正大会。年月日丁玲被国民党特务秘密绑架,关露接替丁玲负责",,
REL-01786,ZLH-021,ZLH-120,交游,low,medium,"1年月。“冯雪峰年。丁玲_1932年(起讫时闭不详)。耶林年(起讫时间不峦)。阳翰笙年一年上半年。周_扬年下半年一19; 一月茅看任书记.1932年丁玲(?)任书记,楼适夷任宣传部长。年月一月茅盾任书记.1933年上半年周扬任组织部长。年冬沙汀任书记.19; 虐、杜谈、白台(钟望阳)黎夫(夏征农)、白丁(王球)、欧查、蒋弼、齐速、",,
REL-01809,ZLH-022,ZLH-024,交游,low,medium,"方殴、方纪、尹庚、公木、甘迈、艾芜、石喝冲、石灵、东平、叶灵凤、叶沉、叶以群、叶紫、田间、田牛、史征军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边; 、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山; .“同年月日,和萧军、艾芜、周文、蒋牧良、以群、欧阳山、张天翼、",,
REL-01814,ZLH-022,ZLH-029,待核验,critical,low,"、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山; 0月日鲁迅逝世,他和草明、张天翼、周文.胡风、欧阳山、奚如、聂绀弩、姚克、萧红、萧军等位青年; 0月日鲁迅逝世,他和草明、张天翼、周文、路丁、胡风、欧阳山、聂绀弩、姚克、萧红、萧军、梅志等16",,
REL-01818,ZLH-022,ZLH-034,待核验,critical,low,谷牧、张寮晖、张秀岩.张秀中、张天翼、张璋、张露薇、张天虚、张文松、张树森、张香山、陆万美、陈璧如、陈八昌、陈正途、陈北鸥、陈大戈、陈落、陈荒燥、陈企霞、陈君冶,,
REL-01819,ZLH-022,ZLH-035,待核验,critical,low,"长路.李俊民、李绍庚、李正文、李辉英、李岫石、李之琏、丽尼、吴奚如、吴强、吴振刚,余修、邱韵铎、何非、何家槐、邹恩淘、应修人、辛劳、汪宪、沙汀、沈起孙、谷万川、; 、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养了一批思想活跃、颇具才华的文学新人如冯铿、沙汀、艾芜、欧阳山; 国主义精神,这部作品和铁池翰(张天翼)的《齿轮》、李辉英的《万宝山》同时",,
REL-01826,ZLH-022,ZLH-045,待核验,critical,low,"谷牧、张寮晖、张秀岩.张秀中、张天翼、张璋、张露薇、张天虚、张文松、张树森、张香山、陆万美、陈璧如、陈八昌、陈正途、陈北鸥、陈大戈、陈落、陈荒燥、陈企霞、陈君冶; 、王任叔、阳翰笙、阿英、丁玲、张天翼、冯雪峰、夏衍、周扬、胡风、周立波、穆木天、杨骚、白薇等,又培养; 式风格的最大的自由“,文章贾扬张天翼、沙汀、文芜、李辉英、耶林、葛琴等“以沈阳事变,上海战争中士兵工农和小市民的生活和斗争为题材“的",,
REL-01835,ZLH-022,ZLH-060,同属组织,critical,low,"、方光焘、田汉、白薇、沈起予、张天翼、郑伯奇、鲁迅、适夷、谢冰苔、穆木天等左联盟员作家,还有冰心、王统照、王鲁彦、巴金、朱自清、老舍、周建人、; 王特夫、王琳、王集丛、王淑明、王鲁彦、王文川、王酉微、方之中、方光焘、白丁、史国纲、艾怡奇、艾寒松、伍蠢甫、任白戈、江天蔚、老舍、向克民、伯韩、沈起予、沈致远、; 何谷天(周文)、洪深、黄芝冈、张天翼、李辉英、廖堆容(廖沫沙)、聂绀弩、欧阳山、任白戈、家",,
REL-01838,ZLH-022,ZLH-065,待核验,critical,low,"前后在南京中央大学做旁听生,与张天翼、胡风、胡楣、欧阳山、柯仲平等过从八密。从事《列宁传》(托",,
REL-01862,ZLH-022,ZLH-115,同属组织,critical,low,愈之、徐调乍、宋云彬、傅彬然、穆时英、施蛮存、顾均正、陈望道、李剑华、李兰、赵铭彝、张耀华、林克多等社会名流和进步作家。中苏复交之时又适逢十月革命胜利周年。,,
REL-01868,ZLH-022,ZLH-122,交游,low,medium,",李辉英的长篇小说《万宝山》,张天翼的短篇小说集《蜜蜂》,长篇小说《一年》,蓬子的短篇集《剪影集》,还有《萧伯纳在上海》(也没有提编者鲁迅、乐雯),其中对《子夜; 凡、荸盾、陈毅(陈沂)、雪苇、张天翼、张香山、梅雨、(聂)绀弩、舒群、彭慧、杨骚、路丁(王尧山)、葛琴、端木蕻良、欧阳山、欧阳凡海、穆木天、戴平万、魏晋、魏猛克; 不松病逝,胡风悲痛不已。他协助许广平料理丧事,在鲁迅先生灵前守护天,2",,
REL-01891,ZLH-023,ZLH-027,交游,low,medium,"样的工作的精神同月日,和萧军、沙汀、艾芜、周文、蒋牧良、以群、欧阳山、张天翼、草明、王任叔、聂绀弩、陈白尘、周而复、凡容、东平等出席第二次小说家座谈会,研; 孙用、艾芜、沙汀、葛琴、周文、叶紫、徐檀庸、唐弹、萧军、萧红等,使《二月动《总退却办; 《清明时节》、何家槐《怀旧集)叶紫《丰收》等)和描写牢狱生活的文学(艾芜《强与弱》》《馅死鬼》等)。出现了许多成功的翻译(鲁迅译《死魄灵》等),杂文",,
REL-01922,ZLH-023,ZLH-084,交游,low,medium,"、东平、叶灵凤、叶沉、叶以群、叶紫、田间、田牛、史征军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边隆基、司徒懋数、讥马文森、台静农、师田手、朱镜我; 汀、艾芜、草明、杨骚、何家槐、叶紫、聂绀驿、杨潮、杨刚等,负责人欧阳山.诗歌研究委员会左联秘书处下属单位.又称诗歌创作委员会、诗歌组.主要任务是指导左联外围团体",,
REL-01932,ZLH-023,ZLH-112,同属组织,critical,low,"应人、潘丙心、穆木天、戴平万、戴望舒、魏金枝、魏猛克等。左联高举反对帝国主义、反对国民克反动派和拥护苏维埃革命的战斗旗帜,努力传播马克思主义文艺理论,介绍苏联及; 、胡也频、张天鬟、沥汀、艾芜.叶紫的小说,田汉、洪深、曹禺、夏衍的戏剧,鲁迅的杂文和《故事新编》,茅盾的名著《子夜》、(林家铺子》、《春蚕》,瞿秋白的杂文的思想",,
REL-01933,ZLH-023,ZLH-116,交游,low,medium,"、东平、叶灵凤、叶沉、叶以群、叶紫、田间、田牛、史征军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边隆基、司徒懋数、讥马文森、台静农、师田手、朱镜我; 汀、艾芜、草明、杨骚、何家槐、叶紫、聂绀驿、杨潮、杨刚等,负责人欧阳山.诗歌研究委员会左联秘书处下属单位.又称诗歌创作委员会、诗歌组.主要任务是指导左联外围团体; 、王志之、王蕹嘉、方殷、艾芜、叶紫、田汉、田间、白曙、冯乃超、冯雪峰、冯",,
REL-01935,ZLH-023,ZLH-120,待核验,critical,low,"、东平、叶灵凤、叶沉、叶以群、叶紫、田间、田牛、史征军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边隆基、司徒懋数、讥马文森、台静农、师田手、朱镜我; 创作为主理论为辅。主要撷稿人有叶紫、何家槐、何谷天、(周文)夏征农、欧阳山、谷非(胡风)、尹虚、; 。中华日报.动向“聂绀弩主编,叶紫助编年月日至同年月日出版,不分期,共出刊次,每逢星期三不出刊。内容以杂文论",,
REL-01937,ZLH-023,ZLH-129,交游,low,medium,"中来。这时,来自湖南的左冀作家叶紫正在为扩充“无名文艺社“和出版《无名文艺》月刊的事忙碌着,彭家煌积极支持叶紫、陈企霞主持的这个团体,也关心他们正在筹备的这份刊",,
REL-01946,ZLH-023,ZLH-142,合作,critical,medium,"上的演说)《新现实与新文学》(法捷耶夫在第一次全苏作家大会上的演说),又发表《作家的世界观)《文艺的真实性》《探求新形式)》《“现实“与“题材“》等论文。还写有; 夫一一谢德林、契诃夫、高尔基、法捷耶夫、涅维洛夫、理定、班台荷耶夫,萨多维亚努.伊凡.伐佐夫、贝歇尔、巴罗哈和一些日本作家,翻译出版了《文艺政策、《艺术论》、《; 为,“最优秀的左翼作家有茅盾、叶紫、艾芜、沙汀、周文、郭沫若“,“",,
REL-01948,ZLH-023,ZLH-145,合作,high,medium,"933年月日,英国戏剧家萧伯纳乘轮船从香港到达上海,不少上海市民去码头欢迎,魏猛克也在欢迎人群中。同一天的《申报.自由谈》出版“萧伯纳专号(上)“,发表黎",,
REL-01955,ZLH-024,ZLH-030,交游,low,medium,"方殴、方纪、尹庚、公木、甘迈、艾芜、石喝冲、石灵、东平、叶灵凤、叶沉、叶以群、叶紫、田间、田牛、史征军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边; 艺,开展工农兵通讯运动。成员有吴奚如、徐平羽、何家槐、陈大戈、彭柏山等,吴奚如、徐平羽,何家槐先后担任过委员会的召集人。创作批评委员会左联秘书处下属单位.又称创; 、张天翼、靳以、沈起于、沙汀、艾芜、夏衍、欧阳山、丽尼、齐同、屈轶、卢萝",,
REL-01962,ZLH-024,ZLH-039,交游,low,medium,"方殴、方纪、尹庚、公木、甘迈、艾芜、石喝冲、石灵、东平、叶灵凤、叶沉、叶以群、叶紫、田间、田牛、史征军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边; 的文学新人如冯铿、沙汀、艾芜、欧阳山、草明、李辉英、周文、柏山、东平、征农、荒煤、葛琴、徐盈、叶紫、罗烽、舒群、端木蕻良、王西彦、王尘无、蒲风、田间、于伶、凌鹤; 任钧、沙汀、杨骚叶紫、何家槐、艾芜、欧阳山、吴奚如等也参加过委员会。马克",,
REL-01976,ZLH-024,ZLH-061,待核验,critical,low,"方殴、方纪、尹庚、公木、甘迈、艾芜、石喝冲、石灵、东平、叶灵凤、叶沉、叶以群、叶紫、田间、田牛、史征军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边",,
REL-01984,ZLH-024,ZLH-077,同属组织,high,low,的回忆琐记（沙汀） 三十年代的一幅剪影（艾芜）——我参加左联前前后后的情形 我想起了左联（关露） 关于“左联”的一些情况（任钧） 左联与中国诗歌会（柳倩）——左联是如何通过中国诗歌会领导和开展,,
REL-02004,ZLH-024,ZLH-119,交游,low,medium,"方殴、方纪、尹庚、公木、甘迈、艾芜、石喝冲、石灵、东平、叶灵凤、叶沉、叶以群、叶紫、田间、田牛、史征军、白薇、白曜、卢芳、冯润壕、冯铿、冯毅之、冯完章、冯契,边; 讯运动。成员有吴奚如、徐平羽、何家槐、陈大戈、彭柏山等,吴奚如、徐平羽,何家槐先后担任过委员会的召集人。创作批评委员会左联秘书处下属单位.又称创作委员会或创作研; 翼文学的发展繁荣.成员有沙汀、艾芜、草明、杨骚、何家槐、叶紫、聂绀驿、杨",,
