subject_type,subject_id,subject_name,review_reason,confidence,date_precision,needs_manual_review
event,EVT-00257,东方旅社文学集会,第三批已裁决转正（2026-08-21，见 phase2_batch3_event_review_decisions.md）,medium,日,no
event,EVT-00145,李求实被捕事件,标记为需人工复核;,medium,日,yes
event,EVT-00008,左联五烈士遇难,标记为需人工复核;,high,日,yes
event,EVT-00148,龙华二十四烈士遇难,标记为需人工复核;,medium,日,yes
event,EVT-00018,鲁迅与内山完造通信,第三批已裁决转正（2026-08-21，见 phase2_batch3_event_review_decisions.md）,medium,日,no
event,EVT-00258,《北斗》创刊,第三批已裁决转正（2026-08-21，见 phase2_batch3_event_review_decisions.md）,high,日,no
event,EVT-00215,1932年上海文学交流会记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00071,1932年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00203,1932年左联新年文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00024,《光华》创刊,低置信度; 仅有年份精度;,low,年,no
event,EVT-00038,《文学月报》文学讨论会,低置信度; 仅有年份精度;,low,年,no
event,EVT-00118,丁玲1932年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00253,内山完造新年集会,低置信度; 仅有年份精度;,low,年,no
event,EVT-00121,冯乃超1932年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00079,周扬1932年遭拘押相关记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00196,周立波上海文学沙龙,低置信度; 仅有年份精度;,low,年,no
event,EVT-00051,夏衍1932年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00175,徐懋庸1932年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00186,楼适夷1932年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00156,沙汀1932年上海文学交流记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00066,潘汉年1932年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00036,瞿秋白1932年光华书局文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00184,穆木天上海会议,低置信度; 仅有年份精度;,low,年,no
event,EVT-00025,茅盾1932年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00125,郁达夫1932年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00193,1933年上海抗日签名活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00078,周扬1933年遭拘押相关记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00144,胡风1933年在日本因反日活动被捕记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00223,高尔基1933年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00138,楼适夷因支持《文学》月刊被捕,标记为需人工复核;,high,日,yes
event,EVT-00260,远东反战会议,低置信度;,low,日,no
event,EVT-00075,1934年良友图书文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00035,徐懋庸1934年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00030,瞿秋白1934年光华书局文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00114,阳翰笙上海签名抗议,低置信度; 仅有年份精度;,low,年,no
event,EVT-00015,鲁迅1934年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00261,《太白》创刊,第三批已裁决转正（2026-08-21，见 phase2_batch3_event_review_decisions.md）,high,日,no
event,EVT-00239,何家槐1935年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00063,冯雪峰1935年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00168,吴奚如1935年上海文艺活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00044,夏衍1935年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00230,孙席珍1935年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00228,孙席珍1935年生活书店文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00171,徐懋庸1935年上海文艺活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00082,田汉1935年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00166,聂绀弩1935年上海文艺活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00240,邹韬奋1935年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00262,《避暑录话》创刊,第三批已裁决转正（2026-08-21，见 phase2_batch3_event_review_decisions.md）,medium,日,no
event,EVT-00189,1936年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00191,1936年上海社会活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00095,1936年内山书店文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00076,1936年良友图书文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00200,于黑丁上海文艺集会,低置信度; 仅有年份精度;,low,年,no
event,EVT-00054,夏衍1936年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00157,沙汀1936年上海文学交流记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00192,1937年上海抗日签名活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00233,孙席珍1937年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00232,孙席珍1937年生活书店文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00199,王任叔上海文化交流,低置信度; 仅有年份精度;,low,年,no
event,EVT-00089,郑伯奇1937年上海文学活动记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00197,林淡秋商务印书馆文学讲座,低置信度; 仅有年份精度;,low,年,no
event,EVT-00214,1940年上海文学交流会记录,标记为需人工复核; 仅有年份精度;,medium,年,yes
event,EVT-00213,《文学月报》讨论会,低置信度; 仅有年份精度;,low,年,no
place,PLC-00007,内山书店,低置信度;,low,street,
place,PLC-00008,虹口区十字街头,低置信度;,low,district,
place,PLC-00009,商务印书馆,低置信度;,low,district,
place,PLC-00010,光华书局,低置信度;,low,district,
place,PLC-00013,良友图书公司,低置信度;,low,district,
place,PLC-00017,现代书局,低置信度;,low,district,
place,PLC-00023,明星影片公司,低置信度;,low,district,
place,PLC-00024,生活书店,低置信度;,low,street,
place,PLC-00028,虹口,低置信度;,low,street,
place,PLC-00034,复旦大学,低置信度;,low,street,
place,PLC-00035,生活书店（福州路）,低置信度;,low,street,
place,PLC-00036,复旦大学江湾校区,低置信度;,low,street,
place,PLC-00042,创造社（闸北宝山路）,低置信度;,low,district,
place,PLC-00065,北新书局,低置信度;,low,district,
place,PLC-00068,虹口区密集活动地,低置信度;,low,district,
place,PLC-00069,南京路,低置信度;,low,district,
place,PLC-00071,荷兰西餐室,坐标无法解析; 低置信度;,low,unknown,
place,PLC-00072,东方旅社,低置信度;,low,district,
place,PLC-00073,湖风书局,坐标无法解析; 低置信度;,low,unknown,
place,PLC-00074,宋庆龄莫利爱路寓所,坐标无法解析;,high,unknown,
place,PLC-00075,远东反战大会旧址,坐标无法解析; 低置信度;,low,unknown,
place,PLC-00076,霞飞路桃源坊,坐标无法解析; 低置信度;,low,unknown,
place,PLC-00077,青岛民报社,坐标无法解析; 低置信度;,low,unknown,
