sheet_name,row_number,primary_key,issue_summary,source_url,evidence_ref_used,confidence
Sheet2,2603,2602|ZLH-035|ZLH-080,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第103页,low
Sheet2,2604,2603|ZLH-035|ZLH-081,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第486页,low
Sheet2,2607,2606|ZLH-035|ZLH-084,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第103页,low
Sheet2,2608,2607|ZLH-035|ZLH-091,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第103页; 左联词典 第107页,low
Sheet2,2610,2609|ZLH-035|ZLH-096,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联史 第201页; 左联史 第351页; 左联史 第528页,low
Sheet2,2611,2610|ZLH-035|ZLH-097,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第103页; 左联词典 第104页,low
Sheet2,2612,2611|ZLH-035|ZLH-098,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第131页,low
Sheet2,2615,2614|ZLH-035|ZLH-104,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第103页,low
Sheet2,2616,2615|ZLH-035|ZLH-105,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第483页,low
Sheet2,2617,2616|ZLH-035|ZLH-107,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第505页,low
Sheet2,2618,2617|ZLH-035|ZLH-112,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第104页; 左联词典 第563页,low
Sheet2,2619,2618|ZLH-035|ZLH-115,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第140页,low
Sheet2,2620,2619|ZLH-035|ZLH-116,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第103页,low
Sheet2,2621,2620|ZLH-035|ZLH-119,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联词典 第103页; 左联词典 第486页; 左联词典 第499页; 左联词典 第504页; 左联词典 第505页,low
Sheet2,2624,2623|ZLH-035|ZLH-123,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联史 第201页; 左联史 第284页; 左联史 第725页,low
Sheet2,2627,2626|ZLH-035|ZLH-129,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第140页; 左联史 第143页; 左联史 第201页; 左联史 第295页,low
Sheet2,2628,2627|ZLH-035|ZLH-130,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联史 第201页,low
Sheet2,2633,2632|ZLH-035|ZLH-139,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第140页; 左联史 第201页; 左联史 第267页; 左联史 第284页; 左联史 第295页,low
Sheet2,2637,2636|ZLH-035|ZLH-147,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第231页,low
Sheet2,2640,2639|ZLH-036|ZLH-038,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；缺少组织归属关键词；证据不足以支撑原关系类型,,左联史 第25页,low
Sheet2,2642,2641|ZLH-036|ZLH-042,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第104页; 左联词典 第205页; 左联词典 第472页; 左联词典 第482页; 左联词典 第483页,low
Sheet2,2644,2643|ZLH-036|ZLH-045,人物-人物关系使用强证据型关系标签；人物-人物之间出现“组织隶属”语义不自然；证据更像长名单并列共现；证据只能支持同属组织或共同组织关联,,左联词典 第104页; 左联词典 第505页; 左联词典 第563页,low
