Source,Target,Relation_Type,Context,Evidence_Ref,Weight,csv_line,pair_key,Original_Relation_Type,Suggested_Relation_Type,Audit_Flags,Audit_Note,Source_Name,Target_Name,Source_Role,Target_Role
ZLH-007,ZLH-076,强关联-组织隶属,"讲话
继承和发扬左翼文化运动的革命传统（周扬）——在纪念“左联”成立五十周
年大会上的讲话
在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联",左联回忆录 第699页,4,15,ZLH-007__ZLH-076,强关联-组织隶属,,,,周扬,马宁,核心领导,普通成员
ZLH-007,ZLH-021,强关联-组织隶属,"讲话
继承和发扬左翼文化运动的革命传统（周扬）——在纪念“左联”成立五十周
年大会上的讲话
在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联",左联回忆录 第699页,4,16,ZLH-007__ZLH-021,强关联-组织隶属,,,,周扬,丁玲,核心领导,骨干成员
ZLH-007,ZLH-037,强关联-组织隶属,"讲话
继承和发扬左翼文化运动的革命传统（周扬）——在纪念“左联”成立五十周
年大会上的讲话
在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联",左联回忆录 第699页,4,17,ZLH-007__ZLH-037,强关联-组织隶属,,,,周扬,楼适夷,核心领导,骨干成员
ZLH-007,ZLH-150,强关联-组织隶属,"讲话
继承和发扬左翼文化运动的革命传统（周扬）——在纪念“左联”成立五十周
年大会上的讲话
在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联",左联回忆录 第699页,4,18,ZLH-007__ZLH-150,强关联-组织隶属,,,,周扬,萧三,核心领导,相关人士
ZLH-007,ZLH-025,强关联-组织隶属,"讲话
继承和发扬左翼文化运动的革命传统（周扬）——在纪念“左联”成立五十周
年大会上的讲话
在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联",左联回忆录 第699页,4,19,ZLH-007__ZLH-025,强关联-组织隶属,,,,周扬,沙汀,核心领导,骨干成员
ZLH-007,ZLH-024,强关联-组织隶属,"讲话
继承和发扬左翼文化运动的革命传统（周扬）——在纪念“左联”成立五十周
年大会上的讲话
在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联",左联回忆录 第699页,4,20,ZLH-007__ZLH-024,强关联-组织隶属,,,,周扬,艾芜,核心领导,骨干成员
ZLH-007,ZLH-067,强关联-组织隶属,"讲话
继承和发扬左翼文化运动的革命传统（周扬）——在纪念“左联”成立五十周
年大会上的讲话
在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联",左联回忆录 第699页,4,21,ZLH-007__ZLH-067,强关联-组织隶属,,,,周扬,任钧,核心领导,普通成员
ZLH-007,ZLH-077,强关联-组织隶属,"讲话
继承和发扬左翼文化运动的革命传统（周扬）——在纪念“左联”成立五十周
年大会上的讲话
在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联",左联回忆录 第699页,4,22,ZLH-007__ZLH-077,强关联-组织隶属,,,,周扬,柳倩,核心领导,普通成员
ZLH-013,ZLH-004,强关联-组织隶属,"在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）",左联回忆录 第699页,4,23,ZLH-004__ZLH-013,强关联-组织隶属,,,,阳翰笙,夏衍,核心领导,核心领导
ZLH-013,ZLH-076,强关联-组织隶属,"在纪念“左联”成立五十周年大会上的发言（阳翰笙）
忆社联（许涤新）
“左联”成立前后（夏衍）
中国左翼作家联盟成立的经过（阳翰笙）
关于上海闸北区文化支部（黄耀）
长念文苑战旗红（吴黎平）——我对左翼",左联回忆录 第699页,4,24,ZLH-013__ZLH-076,强关联-组织隶属,,,,阳翰笙,马宁,核心领导,普通成员
